CódigoTransação,DataVenda,Status,FormaPagamento,Produto,Parcelas,ValorParcela,ValorVenda,ValorComissão,ValorTotalVenda,TipoCheckout,Vendedor
PPCPMTB5E7FG33,07/04/2024 14:09:52,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF94JJ,08/02/2024 20:35:12,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF93KB,08/02/2024 20:27:41,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF93G1,08/02/2024 20:26:32,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G8M6,14/04/2024 05:34:42,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF93EE,08/02/2024 20:26:05,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF92P7,08/02/2024 20:21:08,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF92OM,08/02/2024 20:20:57,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF92E0,08/02/2024 20:17:27,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF922C,08/02/2024 20:13:46,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF917E,08/02/2024 20:07:42,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G9K3,14/04/2024 05:58:43,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G8L1,14/04/2024 05:33:16,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G71H,14/04/2024 04:38:08,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G7KN,14/04/2024 05:05:09,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G74O,14/04/2024 04:45:33,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G76J,14/04/2024 04:49:21,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G7C5,14/04/2024 04:56:49,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA03A,16/04/2024 19:44:27,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9OF3,16/04/2024 19:33:15,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G7K3,14/04/2024 05:04:10,Rejeitado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G7L4,14/04/2024 05:05:12,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G8K4,14/04/2024 05:32:33,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9LF9,16/04/2024 19:13:10,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9L4G,16/04/2024 19:10:40,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G7OM,14/04/2024 05:11:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G82D,14/04/2024 05:17:01,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G83O,14/04/2024 05:18:17,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9K0G,16/04/2024 19:02:57,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GBI8,14/04/2024 06:35:49,Aprovado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9EK8,16/04/2024 18:30:00,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GBI7,14/04/2024 06:35:46,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAG6I,16/04/2024 21:50:52,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAKLP,16/04/2024 22:25:54,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FIO8,13/04/2024 22:54:16,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FJ0E,13/04/2024 22:55:36,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAJH8,16/04/2024 22:15:06,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FJLP,13/04/2024 23:07:17,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FK2K,13/04/2024 23:11:16,Aprovado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FM4G,13/04/2024 23:39:50,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FFK7,13/04/2024 22:14:34,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB110,16/04/2024 23:41:22,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FM7B,13/04/2024 23:41:39,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F6M5,13/04/2024 20:42:29,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB12O,16/04/2024 23:42:27,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EDLC,13/04/2024 18:11:28,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EG7C,13/04/2024 18:30:56,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FH86,13/04/2024 22:33:20,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FF5J,13/04/2024 22:07:58,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GBGC,14/04/2024 06:35:02,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F8DP,13/04/2024 20:59:01,Cancelado,Cartão de Crédito,Produto principal,3,34.29,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F7JN,13/04/2024 20:51:11,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F81M,13/04/2024 20:54:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAPIA,16/04/2024 23:20:37,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F83B,13/04/2024 20:54:54,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAPH8,16/04/2024 23:20:13,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAPFB,16/04/2024 23:19:13,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAPBI,16/04/2024 23:17:06,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAMNH,16/04/2024 22:47:31,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F8II,13/04/2024 21:00:48,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F8ML,13/04/2024 21:02:07,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FA0G,13/04/2024 21:12:02,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FAMD,13/04/2024 21:20:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAO0M,16/04/2024 23:01:23,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FBA6,13/04/2024 21:25:56,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EHAM,13/04/2024 18:39:06,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EI20,13/04/2024 18:44:26,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB5A2,17/04/2024 00:47:43,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F6CD,13/04/2024 20:38:37,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F2JL,13/04/2024 20:10:15,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB1IJ,16/04/2024 23:52:12,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F3ND,13/04/2024 20:17:36,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB1HG,16/04/2024 23:51:40,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F51C,13/04/2024 20:26:03,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F5HO,13/04/2024 20:31:17,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA94MM,16/04/2024 17:27:12,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EK7M,13/04/2024 19:03:13,Aprovado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAAE1H,16/04/2024 21:36:15,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9FOJ0,14/04/2024 00:29:18,Aprovado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GB97,14/04/2024 06:31:01,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9F13,16/04/2024 18:31:52,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GBEC,14/04/2024 06:33:56,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9F0G,16/04/2024 18:31:46,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F2H3,13/04/2024 20:09:28,Aprovado,Cartão de Crédito,Produto principal,5,21.17,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F2B1,13/04/2024 20:08:04,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F23P,13/04/2024 20:06:11,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F1A9,13/04/2024 20:02:04,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9F0GK,13/04/2024 19:56:52,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB1PL,16/04/2024 23:55:59,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EPD1,13/04/2024 19:47:05,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9ENLM,13/04/2024 19:31:47,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB2EL,17/04/2024 00:02:28,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9ENL4,13/04/2024 19:31:34,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB34K,17/04/2024 00:11:56,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9ENKN,13/04/2024 19:31:31,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EN6E,13/04/2024 19:26:22,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB37L,17/04/2024 00:13:39,Expirado,Pix,Produto principal,1,0.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EM79,13/04/2024 19:18:42,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAB4M6,17/04/2024 00:36:29,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA2K2B,15/04/2024 20:23:14,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF913H,08/02/2024 20:06:31,Rejeitado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF90PP,08/02/2024 20:05:27,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9CD64,13/04/2024 12:10:44,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAEO6,09/02/2024 03:58:24,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFP6,09/02/2024 04:30:08,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFJM,09/02/2024 04:23:34,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFGL,09/02/2024 04:19:18,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFFH,09/02/2024 04:17:49,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFAP,09/02/2024 04:10:30,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFAI,09/02/2024 04:10:04,Aprovado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAELD,09/02/2024 03:54:03,Cancelado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAG0A,09/02/2024 04:30:58,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAEE4,09/02/2024 03:44:50,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFADB8,09/02/2024 03:36:05,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAJ35,09/02/2024 05:40:24,Aprovado,Cartão de Crédito,Produto principal,4,26.09,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAJC7,09/02/2024 05:46:30,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAJFH,09/02/2024 05:48:25,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAJJ8,09/02/2024 05:50:39,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAFPE,09/02/2024 04:30:26,Cancelado,Cartão de Crédito,Produto principal,2,50.69,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAH4G,09/02/2024 04:59:47,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFB5JM,09/02/2024 07:23:45,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF7J9E,08/02/2024 16:28:18,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF89FN,08/02/2024 17:59:42,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF89BA,08/02/2024 17:58:38,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF88A5,08/02/2024 17:52:11,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF87AH,08/02/2024 17:45:52,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF85BO,08/02/2024 17:34:18,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF8AHH,08/02/2024 18:07:07,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9J7J,08/02/2024 22:34:57,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAHC3,09/02/2024 05:05:04,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9JI1,08/02/2024 22:38:34,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAIA7,09/02/2024 05:26:11,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAI3G,09/02/2024 05:20:44,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAI3C,09/02/2024 05:20:33,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAHHE,09/02/2024 05:09:49,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAHHB,09/02/2024 05:09:47,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFB6L2,09/02/2024 07:29:36,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFB59K,09/02/2024 07:21:46,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF90I0,08/02/2024 20:03:02,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9PFC,08/02/2024 23:40:32,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFACOI,09/02/2024 03:24:12,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFACGF,09/02/2024 03:13:32,Aprovado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFA1D2,09/02/2024 00:02:49,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFA105,08/02/2024 23:57:56,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFA0PI,08/02/2024 23:57:48,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFA0BF,08/02/2024 23:51:06,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9OH4,08/02/2024 23:28:53,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAOHE,09/02/2024 06:39:26,Rejeitado,Cartão de Crédito,Produto principal,6,17.9,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9OD5,08/02/2024 23:27:36,Aprovado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9NGO,08/02/2024 23:18:20,Aprovado,Cartão de Crédito,Produto principal,3,34.29,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9NE5,08/02/2024 23:17:15,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9MNM,08/02/2024 23:10:01,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9MJD,08/02/2024 23:08:04,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9MI1,08/02/2024 23:07:35,Expirado,Pix,Produto principal,1,0.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF9JEA,08/02/2024 22:37:11,Aprovado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DFAK72,09/02/2024 05:58:41,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
